date	Internal
2014-01-08-13-46-25	0
2014-01-08-13-46-26	0
2014-01-08-13-46-27	0
2014-01-08-13-46-28	0
2014-01-08-13-46-29	0
2014-01-08-13-46-30	0
2014-01-08-13-46-31	0
2014-01-08-13-46-32	0
2014-01-08-13-46-33	0
2014-01-08-13-46-35	0
2014-01-08-13-46-36	0
2014-01-08-13-46-37	0
2014-01-08-13-46-38	0
2014-01-08-13-46-39	0
2014-01-08-13-46-40	0
2014-01-08-13-46-41	0
2014-01-08-13-46-42	0
2014-01-08-13-46-43	0
2014-01-08-13-46-45	0
2014-01-08-13-46-46	0
2014-01-08-13-46-47	0
2014-01-08-13-46-48	0
2014-01-08-13-46-49	0
2014-01-08-13-46-50	0
2014-01-08-13-46-51	0
2014-01-08-13-46-52	0
2014-01-08-13-46-54	0
2014-01-08-13-46-55	0
2014-01-08-13-46-56	0
2014-01-08-13-46-57	0
2014-01-08-13-46-58	0
2014-01-08-13-46-59	0
2014-01-08-13-47-00	0
2014-01-08-13-47-01	0
2014-01-08-13-47-02	0
2014-01-08-13-47-04	0
2014-01-08-13-47-05	0
2014-01-08-13-47-06	0
2014-01-08-13-47-07	0
2014-01-08-13-47-08	0
2014-01-08-13-47-09	0
2014-01-08-13-47-10	0
2014-01-08-13-47-11	0
2014-01-08-13-47-12	0
2014-01-08-13-47-14	0
2014-01-08-13-47-15	0
2014-01-08-13-47-16	0
2014-01-08-13-47-17	0
2014-01-08-13-47-18	0
2014-01-08-13-47-19	0
2014-01-08-13-47-20	0
2014-01-08-13-47-21	0
2014-01-08-13-47-22	0
2014-01-08-13-47-24	0
2014-01-08-13-47-25	0
2014-01-08-13-47-26	0
2014-01-08-13-47-27	0
2014-01-08-13-47-28	0
2014-01-08-13-47-29	0
2014-01-08-13-47-30	0
2014-01-08-13-47-31	0
2014-01-08-13-47-32	0
2014-01-08-13-47-34	0
2014-01-08-13-47-35	0
2014-01-08-13-47-36	0
2014-01-08-13-47-37	0
2014-01-08-13-47-38	0
2014-01-08-13-47-39	0
2014-01-08-13-47-40	0
2014-01-08-13-47-41	0
2014-01-08-13-47-42	0
2014-01-08-13-47-44	0
2014-01-08-13-47-45	0
2014-01-08-13-47-46	0
2014-01-08-13-47-47	0
2014-01-08-13-47-48	0
2014-01-08-13-47-49	0
2014-01-08-13-47-50	0
2014-01-08-13-47-51	0
2014-01-08-13-47-52	0
2014-01-08-13-47-54	0
2014-01-08-13-47-55	0
2014-01-08-13-47-56	0
2014-01-08-13-47-57	0
2014-01-08-13-47-58	0
2014-01-08-13-47-59	0
2014-01-08-13-48-00	0
2014-01-08-13-48-01	0
2014-01-08-13-48-03	0
2014-01-08-13-48-04	0
2014-01-08-13-48-05	0
2014-01-08-13-48-06	0
2014-01-08-13-48-07	0
2014-01-08-13-48-08	0
2014-01-08-13-48-09	0
2014-01-08-13-48-10	0
2014-01-08-13-48-11	0
2014-01-08-13-48-13	0
2014-01-08-13-48-14	0
2014-01-08-13-48-15	0
2014-01-08-13-48-16	0
2014-01-08-13-48-17	0
2014-01-08-13-48-18	0
2014-01-08-13-48-19	0
2014-01-08-13-48-20	0
2014-01-08-13-48-21	0
2014-01-08-13-48-22	0
2014-01-08-13-48-24	0
2014-01-08-13-48-25	0
2014-01-08-13-48-26	0
2014-01-08-13-48-27	0
2014-01-08-13-48-28	0
2014-01-08-13-48-29	0
2014-01-08-13-48-30	0
2014-01-08-13-48-31	0
2014-01-08-13-48-32	0
2014-01-08-13-48-34	0
2014-01-08-13-48-35	0
2014-01-08-13-48-36	0
2014-01-08-13-48-37	0
2014-01-08-13-48-38	0
2014-01-08-13-48-39	0
2014-01-08-13-48-40	0
2014-01-08-13-48-41	0
2014-01-08-13-48-42	0
2014-01-08-13-48-44	0
2014-01-08-13-48-45	0
2014-01-08-13-48-46	0
2014-01-08-13-48-47	0
2014-01-08-13-48-48	0
2014-01-08-13-48-49	0
2014-01-08-13-48-50	0
2014-01-08-13-48-51	0
2014-01-08-13-48-52	0
2014-01-08-13-48-54	0
2014-01-08-13-48-55	0
2014-01-08-13-48-56	0
2014-01-08-13-48-57	0
2014-01-08-13-48-58	0
2014-01-08-13-48-59	0
2014-01-08-13-49-00	0
2014-01-08-13-49-01	0
2014-01-08-13-49-02	0
2014-01-08-13-49-04	0
2014-01-08-13-49-05	0
2014-01-08-13-49-06	0
2014-01-08-13-49-07	0
2014-01-08-13-49-08	0
2014-01-08-13-49-09	0
2014-01-08-13-49-10	0
2014-01-08-13-49-12	0
2014-01-08-13-49-13	0
2014-01-08-13-49-14	0
2014-01-08-13-49-15	0
2014-01-08-13-49-16	0
2014-01-08-13-49-17	0
2014-01-08-13-49-18	0
2014-01-08-13-49-20	0
2014-01-08-13-49-21	0
2014-01-08-13-49-22	0
2014-01-08-13-49-23	0
2014-01-08-13-49-24	0
2014-01-08-13-49-25	0
2014-01-08-13-49-26	0
2014-01-08-13-49-27	0
2014-01-08-13-49-29	0
2014-01-08-13-49-30	0
2014-01-08-13-49-31	0
2014-01-08-13-49-32	0
2014-01-08-13-49-33	0
2014-01-08-13-49-34	0
